feature,raw_abs_corr,raw_mi,log_abs_corr,log_mi,poly_abs_corr,poly_mi,best_transform
station_ST-1331,0.010536409633058373,0.0016414155965200905,0.010536409633058326,0.0016414155965200905,0.010536409633058373,0.0016649514291291467,poly2
station_ST-2425,0.01569589461241212,0.0015022623139469005,0.015695894612411908,0.0015022623139469005,0.01569589461241212,0.001522413833873415,poly2
온도,0.031657804313734945,0.001021078211655535,,,0.031657804313734945,0.004041284427794167,poly2
습도,0.023373958710967074,0.000856574725874637,0.024772268364868587,0.0009433212419072134,0.023373958710967074,0.003431972943593209,poly2
is_weekday_0,0.051288098882033145,0.002414354827580567,0.05128809888203145,0.002414354827580567,0.051288098882033145,0.001088597801288671,raw
station_ST-464,0.005890960277610286,0.0021345808433057556,0.005890960277610207,0.0021345808433057556,0.005890960277610286,0.0011170003152596308,raw
station_ST-2263,0.006589299395150193,0.002074569004887117,0.006589299395150164,0.002074569004887117,0.006589299395150193,0.001304202739978777,raw
station_ST-450,0.005616589672256766,0.0020623627087417162,0.005616589672256659,0.0020623627087417162,0.005616589672256766,0.002022298630896202,raw
station_ST-2259,0.00792768975725655,0.002038798755780391,0.0079276897572563,0.002038798755780391,0.00792768975725655,0.0013367747722705658,raw
station_ST-1486,0.006449599324795284,0.002001835239687111,0.006449599324795108,0.002001835239687111,0.006449599324795284,0.0013403128976934298,raw
station_ST-463,0.00874556127222102,0.001995861586345349,0.008745561272220724,0.001995861586345349,0.00874556127222102,0.00130974428722741,raw
station_ST-1485,0.0038760971114286777,0.00197805486792646,0.003876097111428559,0.00197805486792646,0.0038760971114286777,0.0014744554488768102,raw
snow_flag,0.005878682792902358,0.0019622103754004527,0.005878682792901337,0.0019622103754004527,0.005878682792902358,0.0014285263642772605,raw
station_ST-1020,0.004527310481985524,0.0019478422711900478,0.004527310481985254,0.0019478422711900478,0.004527310481985524,0.0015264189285906227,raw
station_ST-470,0.006408355347027518,0.0019423492081092064,0.006408355347027378,0.0019423492081092064,0.006408355347027518,0.0013893721410322968,raw
station_ST-2782,0.007717833694450529,0.0019392192124865204,0.007717833694450413,0.0019392192124865204,0.007717833694450529,0.0015797178774956677,raw
is_night,0.01796779316491574,0.001932489558725159,0.017967793164915605,0.001932489558725159,0.01796779316491574,0.0005799581414125399,raw
is_night_1,0.01796779316491574,0.001932489558725159,0.01796779316491526,0.001932489558725159,0.01796779316491574,0.0005799581414125399,raw
is_daytime_0,0.01796779316491574,0.001932489558725159,0.01796779316491526,0.001932489558725159,0.01796779316491574,0.0005799581414125399,raw
station_ST-3279,0.0009761631268035459,0.0019272739243740844,0.0009761631268034764,0.0019272739243740844,0.0009761631268035459,0.0015447403311954488,raw
