측정일시,권역코드,권역명,측정소코드,측정소명,미세먼지_1시간,미세먼지_24시간,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
202501091400,101,서북권,111181,은평구,39,27,3,0.0282,0.005,0.22,0.0029
202501091500,101,서북권,111181,은평구,32,29,4,0.0275,0.0056,0.23,0.0028
202501091600,101,서북권,111181,은평구,43,31,6,0.0267,0.0063,0.24,0.0029
202501091700,101,서북권,111181,은평구,49,34,7,0.0267,0.0064,0.27,0.003
202501091800,101,서북권,111181,은평구,37,35,9,0.025,0.0083,0.28,0.0033
202501091900,101,서북권,111181,은평구,47,38,13,0.0217,0.013,0.31,0.0035
202501092000,101,서북권,111181,은평구,42,39,12,0.0207,0.0135,0.31,0.0033
202501092100,101,서북권,111181,은평구,36,38,9,0.0202,0.0139,0.32,0.0032
202501092200,101,서북권,111181,은평구,40,39,12,0.0201,0.0139,0.31,0.0031
202501092300,101,서북권,111181,은평구,39,39,11,0.0199,0.014,0.33,0.0032
202501100000,101,서북권,111181,은평구,30,38,12,0.0189,0.0146,0.36,0.0032
202501100100,101,서북권,111181,은평구,28,36,9,0.0213,0.0113,0.3,0.0033
202501100200,101,서북권,111181,은평구,20,33,10,0.0212,0.0111,0.3,0.0033
202501100300,101,서북권,111181,은평구,25,31,6,0.0216,0.0094,0.28,0.0033
202501100400,101,서북권,111181,은평구,21,29,7,0.0197,0.0117,0.32,0.0034
202501100500,101,서북권,111181,은평구,17,26,8,0.0184,0.0131,0.38,0.0034
202501100600,101,서북권,111181,은평구,21,26,7,0.0174,0.0141,0.34,0.0034
202501100700,101,서북권,111181,은평구,24,25,8,0.0143,0.0168,0.29,0.0032
202501100800,101,서북권,111181,은평구,29,25,8,0.0113,0.0205,0.33,0.0032
202501100900,101,서북권,111181,은평구,25,26,6,0.0104,0.0232,0.36,0.0032
202501101000,101,서북권,111181,은평구,20,25,9,0.0214,0.0121,0.32,0.0036
202501101100,101,서북권,111181,은평구,21,24,6,0.0245,0.0092,0.29,0.0036
202501101200,101,서북권,111181,은평구,20,22,6,0.0231,0.0119,0.32,0.0035
202501101300,101,서북권,111181,은평구,31,23,10,0.0208,0.0162,0.33,0.0035
202501101400,101,서북권,111181,은평구,22,23,10,0.0229,0.0152,0.3,0.0034
202501101500,101,서북권,111181,은평구,20,23,8,0.0257,0.0131,0.29,0.0033
202501101600,101,서북권,111181,은평구,20,23,5,0.0263,0.0142,0.3,0.0033
202501101700,101,서북권,111181,은평구,27,23,10,0.0214,0.0207,0.3,0.0035
202501101800,101,서북권,111181,은평구,29,24,10,0.0181,0.0245,0.35,0.0035
202501101900,101,서북권,111181,은평구,28,25,6,0.0099,0.0326,0.45,0.0031
202501102000,101,서북권,111181,은평구,31,27,11,0.0084,0.0322,0.48,0.003
202501102100,101,서북권,111181,은평구,21,26,10,0.0067,0.0325,0.51,0.003
202501102200,101,서북권,111181,은평구,24,25,9,0.009,0.029,0.38,0.003
202501102300,101,서북권,111181,은평구,19,24,8,0.0064,0.0336,0.43,0.003
202501110000,101,서북권,111181,은평구,21,23,10,0.004,0.0394,0.54,0.003
202501110100,101,서북권,111181,은평구,20,22,9,0.0097,0.0274,0.43,0.0029
202501110200,101,서북권,111181,은평구,18,21,10,0.0072,0.0282,0.44,0.0029
202501110300,101,서북권,111181,은평구,21,22,7,0.0089,0.0254,0.41,0.0028
202501110400,101,서북권,111181,은평구,20,22,10,0.009,0.0246,0.41,0.0028
202501110500,101,서북권,111181,은평구,20,21,13,0.0088,0.0244,0.39,0.0028
202501110600,101,서북권,111181,은평구,21,21,12,0.0048,0.0319,0.46,0.0028
202501110700,101,서북권,111181,은평구,21,21,13,0.0036,0.036,0.55,0.0029
202501110800,101,서북권,111181,은평구,28,22,18,0.0061,0.0318,0.48,0.003
202501110900,101,서북권,111181,은평구,34,24,18,0.0058,0.0336,0.63,0.003
202501111000,101,서북권,111181,은평구,32,26,23,0.0091,0.0311,0.63,0.0032
202501111100,101,서북권,111181,은평구,36,28,21,0.0137,0.0264,0.56,0.0032
202501111200,101,서북권,111181,은평구,41,31,26,0.0163,0.0257,0.52,0.0033
202501111300,101,서북권,111181,은평구,35,32,25,0.0198,0.0247,0.48,0.0032
202501111400,101,서북권,111181,은평구,45,34,26,0.017,0.0306,0.52,0.0033
202501111500,101,서북권,111181,은평구,27,34,11,0.0242,0.0202,0.37,0.0032
202501111600,101,서북권,111181,은평구,22,31,14,0.0281,0.0146,0.32,0.0032
202501111700,101,서북권,111181,은평구,22,30,13,0.0279,0.0152,0.35,0.0033
202501111800,101,서북권,111181,은평구,33,29,14,0.0229,0.0214,0.42,0.0033
202501111900,101,서북권,111181,은평구,32,30,20,0.0189,0.0263,0.46,0.0034
202501112000,101,서북권,111181,은평구,32,31,13,0.0132,0.0305,0.5,0.0031
202501112100,101,서북권,111181,은평구,27,32,16,0.0111,0.0339,0.55,0.003
202501112200,101,서북권,111181,은평구,23,30,11,0.0131,0.0265,0.42,0.0029
202501112300,101,서북권,111181,은평구,26,29,13,0.0115,0.027,0.41,0.0029
202501120000,101,서북권,111181,은평구,24,27,16,0.016,0.0209,0.4,0.0028
202501120100,101,서북권,111181,은평구,29,27,21,0.0145,0.0233,0.45,0.0029
202501120200,101,서북권,111181,은평구,26,27,14,0.0161,0.021,0.47,0.0029
202501120300,101,서북권,111181,은평구,20,26,16,0.015,0.0239,0.48,0.0028
202501120400,101,서북권,111181,은평구,27,26,13,0.0114,0.0288,0.52,0.0028
202501120500,101,서북권,111181,은평구,27,26,15,0.01,0.0304,0.56,0.0029
202501120600,101,서북권,111181,은평구,29,26,17,0.0077,0.0346,0.59,0.0029
202501120700,101,서북권,111181,은평구,26,27,18,0.0055,0.0359,0.62,0.0028
202501120800,101,서북권,111181,은평구,28,27,20,0.0053,0.0351,0.66,0.0029
202501120900,101,서북권,111181,은평구,33,28,21,0.0071,0.0346,0.72,0.003
202501121000,101,서북권,111181,은평구,32,29,22,0.009,0.0326,0.7,0.0032
202501121100,101,서북권,111181,은평구,47,32,26,0.0142,0.0285,0.62,0.0033
