날짜,역명,구분,새벽,출근,낮,퇴근,출근_ratio,퇴근_ratio,commute_balance,위도,경도
2024-01-16,구산,승차,677,4241,2600,932,0.5018934911242604,0.11029585798816569,0.639667504349507,37.611377,126.91727
2024-01-16,구산,하차,1327,741,2110,2400,0.11264822134387352,0.36485253876558227,-0.5281757402101241,37.611377,126.91727
2024-01-16,디지털미디어시티,승차,1383,6513,3967,4624,0.395038515193789,0.2804633954024383,0.16961479752177427,37.576958,126.898609
2024-01-16,디지털미디어시티,승차,1383,6513,3967,4624,0.395038515193789,0.2804633954024383,0.16961479752177427,37.576108,126.901391
2024-01-16,디지털미디어시티,승차,1383,6513,3967,4624,0.395038515193789,0.2804633954024383,0.16961479752177427,37.577475,126.900453
2024-01-16,디지털미디어시티,하차,2968,6663,3557,5030,0.3657371830058184,0.2761005598858272,0.13965620456683486,37.576958,126.898609
2024-01-16,디지털미디어시티,하차,2968,6663,3557,5030,0.3657371830058184,0.2761005598858272,0.13965620456683486,37.576108,126.901391
2024-01-16,디지털미디어시티,하차,2968,6663,3557,5030,0.3657371830058184,0.2761005598858272,0.13965620456683486,37.577475,126.900453
2024-01-17,구파발,승차,1919,10652,7536,2917,0.46264767199444057,0.1266938846421126,0.5700493772569828,37.636763,126.918821
2024-01-17,구파발,하차,5011,2957,6801,7453,0.13306633066330664,0.3353883538835388,-0.4318924111431316,37.636763,126.918821
2024-01-17,연신내,승차,3413,15986,11584,4102,0.4556363118141656,0.1169160609947271,0.5915969733174035,37.61878,126.9213
2024-01-17,연신내,승차,3413,15986,11584,4102,0.4556363118141656,0.1169160609947271,0.5915969733174035,37.618636,126.920625
2024-01-17,연신내,승차,3413,15986,11584,4102,0.4556363118141656,0.1169160609947271,0.5915969733174035,37.619229,126.921038
2024-01-17,연신내,하차,8075,3350,10374,12350,0.0980995051099593,0.3616504143605962,-0.5732484076433121,37.61878,126.9213
2024-01-17,연신내,하차,8075,3350,10374,12350,0.0980995051099593,0.3616504143605962,-0.5732484076433121,37.618636,126.920625
2024-01-17,연신내,하차,8075,3350,10374,12350,0.0980995051099593,0.3616504143605962,-0.5732484076433121,37.619229,126.921038
2024-01-17,불광,승차,1520,7131,5763,2492,0.4218029102093931,0.14740328877321662,0.48207419723578926,37.610873,126.92939
2024-01-17,불광,승차,1520,7131,5763,2492,0.4218029102093931,0.14740328877321662,0.48207419723578926,37.610553,126.92982
2024-01-17,불광,하차,3538,2478,6028,5928,0.13788114845314933,0.3298464277765413,-0.4104211277658815,37.610873,126.92939
2024-01-17,불광,하차,3538,2478,6028,5928,0.13788114845314933,0.3298464277765413,-0.4104211277658815,37.610553,126.92982
2024-01-17,녹번,승차,1019,9254,4748,1762,0.551391288804147,0.10498718941786331,0.6801016702977487,37.600927,126.935756
2024-01-17,녹번,하차,3981,1466,3875,6342,0.09359039836567927,0.40487742594484166,-0.6244877049180327,37.600927,126.935756
2024-01-17,응암,승차,1389,9794,5502,2062,0.5224302555075478,0.10999093188243453,0.6521592442645074,37.598605,126.915577
2024-01-17,응암,하차,4700,1691,5032,7554,0.08910786741845392,0.39806081045476105,-0.6341806381828015,37.598605,126.915577
2024-01-17,역촌,승차,312,1980,1364,475,0.4793028322440087,0.11498426531106269,0.6130346232179226,37.606021,126.922744
2024-01-17,역촌,하차,1166,618,1377,1801,0.12454655380894801,0.3629584844820637,-0.4890450599421248,37.606021,126.922744
2024-01-17,불광,승차,431,1629,1873,837,0.34150943396226413,0.17547169811320754,0.32116788321167883,37.610873,126.92939
2024-01-17,불광,승차,431,1629,1873,837,0.34150943396226413,0.17547169811320754,0.32116788321167883,37.610553,126.92982
2024-01-17,불광,하차,838,669,1590,1517,0.14499349804941483,0.32878196792371045,-0.3879231473010064,37.610873,126.92939
2024-01-17,불광,하차,838,669,1590,1517,0.14499349804941483,0.32878196792371045,-0.3879231473010064,37.610553,126.92982
2024-01-17,독바위,승차,176,1633,1017,267,0.5279663756870352,0.0863239573229874,0.7189473684210527,37.618456,126.933031
2024-01-17,독바위,하차,849,273,821,1270,0.08496732026143791,0.3952692187986306,-0.6461438755670771,37.618456,126.933031
2024-01-17,구산,승차,660,4187,2715,881,0.49591377472462395,0.10434679616250148,0.6523283346487766,37.611377,126.91727
2024-01-17,구산,하차,1398,727,2250,2429,0.10684891240446796,0.35699588477366256,-0.5392902408111534,37.611377,126.91727
2024-01-17,디지털미디어시티,승차,1391,6530,3920,4527,0.3989491691104594,0.2765762463343108,0.18115221126887945,37.576958,126.898609
2024-01-17,디지털미디어시티,승차,1391,6530,3920,4527,0.3989491691104594,0.2765762463343108,0.18115221126887945,37.576108,126.901391
2024-01-17,디지털미디어시티,승차,1391,6530,3920,4527,0.3989491691104594,0.2765762463343108,0.18115221126887945,37.577475,126.900453
2024-01-17,디지털미디어시티,하차,3238,6586,3641,5010,0.3564817320703654,0.2711772665764547,0.13590893411521215,37.576958,126.898609
2024-01-17,디지털미디어시티,하차,3238,6586,3641,5010,0.3564817320703654,0.2711772665764547,0.13590893411521215,37.576108,126.901391
2024-01-17,디지털미디어시티,하차,3238,6586,3641,5010,0.3564817320703654,0.2711772665764547,0.13590893411521215,37.577475,126.900453
